id,username,displayname,description,followers,following,statuses,favourites,listed,mediaCount,created_at,profile_image,profile_banner
1633910000287469580,SuperUs07,Super User ℵ,"$ALPH maxi from day 1. Following a different path than others ✍️. Patience is bitter, but its fruit is sweet. 🍓 א",774,1114,9746,26793,3,277,2023-03-09T19:18:07+00:00,https://pbs.twimg.com/profile_images/1707787783224406016/hbsX_cmX_normal.jpg,https://pbs.twimg.com/profile_banners/1633910000287469580/1700500863
952695734746435584,0xalphavisuals,"Maybe Alpha, maybe NOT ☠️☠️☠️",Web 3 💻,361,1477,4972,10391,3,336,2018-01-15T00:15:38+00:00,https://pbs.twimg.com/profile_images/1835260746826960896/3I7EXzGL_normal.jpg,https://pbs.twimg.com/profile_banners/952695734746435584/1726395236
1834424959747457027,TtysmoowYA,Ttysmoo,,8,107,2,0,0,2,2024-09-13T02:52:48+00:00,https://pbs.twimg.com/profile_images/1837492017804595204/hybvJP2p_normal.jpg,https://pbs.twimg.com/profile_banners/1834424959747457027/1727082359
1675642793442648065,CryptoBizkit,CryptoBizkit,2025 . $SUI $ONDO $TAO $KTA,846,1080,7082,14013,5,121,2023-07-02T23:09:19+00:00,https://pbs.twimg.com/profile_images/1969536646996447232/iXuihzHE_normal.jpg,https://pbs.twimg.com/profile_banners/1675642793442648065/1736196188
1368221376935583745,1EMoNeYBaGs,E MoNeY BaGs 🩸,,17623,2633,9234,175899,29,531,2021-03-06T15:26:18+00:00,https://pbs.twimg.com/profile_images/1983640971834236928/Evx45h0U_normal.jpg,https://pbs.twimg.com/profile_banners/1368221376935583745/1761771847
1359596380365467655,Guillau44473110,ℵ StrAtoS ℵ ⚛️,,67,412,1022,5511,4,38,2021-02-10T20:13:51+00:00,https://pbs.twimg.com/profile_images/1802326592808484865/QUntpVEO_normal.jpg,https://pbs.twimg.com/profile_banners/1359596380365467655/1733956024
1546735761189244928,BullRunTimes,Lets.alph,"Hoping for a decentralized world
$alph",586,915,5303,14374,7,194,2022-07-12T05:58:50+00:00,https://pbs.twimg.com/profile_images/1863338294521577472/-plxZ0lx_normal.jpg,https://pbs.twimg.com/profile_banners/1546735761189244928/1673675528
1501191411353276417,cyxeio,cyxe ℵ,Founder https://t.co/1xq2haIlZy | https://t.co/nNumLpp1ve,251,675,1471,2023,1,44,2022-03-08T13:41:46+00:00,https://pbs.twimg.com/profile_images/1765054037043630080/Q1viQD5n_normal.jpg,https://pbs.twimg.com/profile_banners/1501191411353276417/1747152527
1833488135352705024,HermesOnChain,Hermes,Hermes is a dApp that generates unique and personalized NFTs on the Alephium blockchain in just a few clicks. Created by @captainralph42 & @Just1_rbr,37,25,17,63,0,2,2024-09-10T12:51:09+00:00,https://pbs.twimg.com/profile_images/1833488519949406209/TF0Criz4_normal.jpg,https://pbs.twimg.com/profile_banners/1833488135352705024/1725973233
468769960,Tyson__151,Tysoℵ,,86,169,46,90,0,2,2012-01-19T22:08:20+00:00,https://pbs.twimg.com/profile_images/3088042548/45a5c83e01719ad5cff93fe589edadaa_normal.jpeg,
1460122429905375240,0xTarti,Tarti ℵ,"A  L  E  P  H  I  U  M 
$ALPH enjoyer",239,592,498,587,0,65,2021-11-15T05:48:21+00:00,https://pbs.twimg.com/profile_images/1864339145562210304/w9U7DNgK_normal.jpg,https://pbs.twimg.com/profile_banners/1460122429905375240/1736462904
1308020468675477504,__St4rL0rd__,StℵrL0rd,✨ $SWTH $NOS $ALPH $AYIN $TRAC 🌖,154,771,1532,3053,0,106,2020-09-21T12:29:24+00:00,https://pbs.twimg.com/profile_images/1774534082229096448/FSIIKHW__normal.jpg,https://pbs.twimg.com/profile_banners/1308020468675477504/1711917017
